judge n.法官；裁判员
loan n.贷款；暂借
local a.地方的；局部的
loyal a.忠诚的，忠心的
loyalty n.忠诚，忠心
luck n.运气；好运，幸运
lucky a.幸运的；吉祥的
luggage n.行李；皮箱，皮包
lumber n.木材；木料；制材
lump n.团，块；肿块
lunch n.午餐，(美)便餐
lung n.肺脏，肺
luxury n.奢侈，奢华；奢侈品
machine n.机器；机械
mad a.发疯的；恼火的
madam n.夫人，女士，太太
magazine n.杂志，期刊
magic n.魔法，巫术；戏法
magnet n.磁铁，磁石，磁体
magnetic a.磁的，有吸引力的
magnificent n.壮丽的；华丽的
maid n.女佣，女仆；少女
mobile a.运动的；流动的
mode n.方式，样式
model n.模型；模式；模特儿
moderate a.温和的；有节制的
modern a.现代的，近代的
modest a.有节制的；谦虚的
moist a.湿润的；多雨的
moisture n.潮湿，湿气；温度
number n.数，数字；号码
numerous a.为数众多的；许多
nursery n.托儿所；苗圃
nut n.坚果，干果；螺母
obvious a.明显的，显而易见的
obviously ad.明显地，显然地
occasion n.场合，时刻；时机
occasional a.偶然的；临时的
occasionally ad.偶然；非经常地
occupation n.占领，占据；职业
pill n.药丸，丸剂
pillar n.柱，柱子；栋梁
pillow n.枕头
pilot n.领航员；飞行员
pin n.针，饰针 n.别住
pinch vt.捏，拧，掐掉
pine n.松树，松木
pink n.粉红色 a.粉红色的
pint n.品脱
pioneer n.拓荒者；先驱者
pipe n.管子，导管；烟斗
pipeline n.管道，管线
pistol n.手枪
pit n.坑，地坑；煤矿
pitch n.沥青
pure a.纯粹的；纯洁的
purely ad.纯粹地，完全地
purity n.纯净；纯洁；纯度
purple n.紫色 a.紫的
purpose n.目的；意图；效果
purse n.钱包，小钱袋，手袋
quality n.质量；品质，特性
quantity n.量，数量，分量
quarrel n.争吵，吵架，口角
quart n.夸脱(=2品脱)
relation n.关系，联系；家属
relationship n.关系，联系
relative a.有关系的；相对的
relatively ad.相对地，比较地
relativity n.相关性；相对性
run vi.跑，奔；行驶；流
runner n.赛跑的人
rural a.农村的，田园的
rush vi.冲，奔 vt.催促
Russian a.俄罗斯的 n.俄国人
rust n.锈 vi.生锈，氧化
rusty a.生锈的；变迟钝的
sad a.悲哀的，令人悲痛的
saddle n.鞍子，马鞍
sadly ad.悲痛地，悲哀地
sadness n.悲痛，悲哀
safe a.安全的；谨慎的
safe n.保险箱
safely ad.安全地；可靠地
safety n.安全，保险
sail n.帆；船 vi.航行
sailor n.水手，海员，水兵
saint n.圣徒；基督教徒
traitor n.叛徒，卖国贼
truth n.真理；真实；真实性
ultimate a.最后的，最终的
ultimately ad.最终，最后
umbrella n.伞，雨伞
unable a.不能的，不会的
unbearable a.难堪的，忍受不了的
uncertain a.无常的；不确定的
uncle n.伯父，叔父，舅父
uncomfortable a.不舒服的；不自在的
unconscious a.不省人事的
unity n.单一；统一；团结
universal a.宇宙的；普遍的
universe n.宇宙，世界
university n.大学，综合性大学
unjust a.非正义的；不公平的
unkind a.不仁慈的，不和善的
unknown a.不知道的；未知的
volt n.伏特，伏
voltage n.电压
volume n.卷，册；容积；音量
voluntary a.自愿的，志愿的
vote n.选举，投票，表决
voyage n.&vi.航海，航空
wage n.工资，报酬
wedding n.婚礼
Wednesday n.星期三
weed n.杂草，野草 vi.除草
week n.星期，周
weekday n.周日，工作日
weekend n.周末，周末假期
weekly a.每周的 ad.每周
weep vi.哭泣，流泪
yard n.码
yawn vi.打呵欠 n.呵欠
year n.年；年年
yearly a.每年的 ad.一年一度
yell vi.叫喊
yellow a.黄(色)的 n.黄(色)
yes ad.是，是的
yesterday n.&ad.昨天，昨日
youth n.青春；青年们；青年
youthful a.年轻的，青年的
zeal n.热心，热情，热忱
zealous a.热心的，热情的
zebra n.斑马
zero n.零；零点，零度
zone n.地区，区域，范围
